date,Silver,Times
8/12/24,54.815,47.3306
8/13/24,56.0375,47.3151
8/14/24,56.705,47.2928
8/15/24,55.6625,47.8468
8/16/24,54.21,47.8061
8/17/24,53.76,47.8068
8/18/24,53.5275,48.3058
8/19/24,53.6175,48.2105
8/20/24,53.7125,48.2011
8/21/24,52.735,47.819
8/22/24,52.78,47.8919
8/23/24,53.4975,48.1592
8/24/24,53.18,48.0928
8/25/24,52.44,48.0825
8/26/24,52.5025,48.3914
8/27/24,51.4525,48.3286
8/28/24,50.5375,48.9162
8/29/24,47.345,48.72
8/30/24,46.5925,48.9682
8/31/24,44.6175,48.9845
9/1/24,43.985,49.2101
9/2/24,43.41333,49.0978
9/3/24,43.0325,49.0832
9/4/24,41.585,49.0863